02 10 28
# new version, two As corrected																			
# William Goddard for Gary Ferland, July 2001 
# The above is a version number and must appear as the first line - 
# it is used to confirm that this is the correct file for the current version of the code
# this number also appears in routine CreateData near line 145 and in a print statement
# that follows it. This has been today's date.
#
# To add an emission line, simply add the neccessary data to hyperfine.dat.
# these are the level 1 lines, those with accurate collision data.
#
# Data in this file is read in by the routine HyperfineCreate, all put into
# HFLines[n].xxx
#
# Any line with a "#" in col 1 is a comment and totally ignored,
# These comment lines can occur anywhere within this file.
# Any line that does not have a "#" in col 1 must contain data.  
#
# The file ends with end of file, and must contain comments or valid data
# up to that point.
#
# The order of the lines in this file does not matter.
#
# numbers are read in in Hyperfine.c
#
# The first number is the number of nucleons in the nucleus.  The second is the atomic
# number.  3rd number is nuclear spin.  4th is the ionization - 1 = HI, 2 = HII,
# etc.
# the 5th number is the ration of isotope abundance to solar abundance
# 6th is the wavelength in cm, 7th is the Einstein A, 8th - 19th are
# effective collision strengths for given temperatures.
#
#Atomic		Ion	Abund.			Transition	Temperature (millions K):												
#Mass	Z	Spin	Stage	Ratio		Wavelength	Probablity	0.1	0.15	0.25	0.4	0.6	1	1.5	2.5	4	6	10	15	
1	1	0.5	1	1	21.105	2.85E-15	0.054955	0.054395	0.053385	0.051965	0.050325	0.0477	0.045125	0.04081	0.035585	0.03047	0.023885	0.01902	
2	1	1	1	1.50E-04	91.6	4.65E-17	0.054955	0.054395	0.053385	0.051965	0.050325	0.0477	0.045125	0.04081	0.035585	0.03047	0.023885	0.01902	
3	2	0.5	2	1.10E-06	3.5	1.9E-12	0.054955	0.054395	0.053385	0.051965	0.050325	0.0477	0.045125	0.04081	0.035585	0.03047	0.023885	0.01902	
6	3	1	3	1.81E-04	3.53	8.1E-13	0.054955	0.054395	0.053385	0.051965	0.050325	0.0477	0.045125	0.04081	0.035585	0.03047	0.023885	0.01902	
7	3	1.5	3	2.30E-03	1	4E-11	0.054955	0.054395	0.053385	0.051965	0.050325	0.0477	0.045125	0.04081	0.035585	0.03047	0.023885	0.01902	
9	4	1.5	4	4.94E-01	1.17	4.2E-11	0.054955	0.054395	0.053385	0.051965	0.050325	0.0477	0.045125	0.04081	0.035585	0.03047	0.023885	0.01902	
10	5	3	5	2.77E-01	0.447	5.1e-10	0.054955	0.054395	0.053385	0.051965	0.050325	0.0477	0.045125	0.04081	0.035585	0.03047	0.023885	0.01902	
11	5	1.5	5	1.07E+00	0.262	2.2E-09	0.054955	0.054395	0.053385	0.051965	0.050325	0.0477	0.045125	0.04081	0.035585	0.03047	0.023885	0.01902	
13	6	0.5	6	9.30E-03	0.387	4.6E-10	0.0475	0.0469	0.0459	0.0445	0.043	0.0409	0.0391	0.0358	0.0312	0.0265	0.0204	0.016	Zhang
14	7	1	7	9.75E-01	0.564	2E-10	0.0624	0.0619	0.0609	0.0594	0.0577	0.0545	0.0512	0.0458	0.0400	0.0344	0.0274	0.0220	Zhang
