# version of 2003 oct 28, revised to account for changed wavelengths of some lines
# for information on the format of this file, see readme_LineList_dat.txt
#
# this list of lines is appropriate for ionized low-density gas like the
# NLR of an AGN 
#
# UV lines: lambda > 600 Angstroms
mg10   609.793A     total Mg X 610
#inwd  609.8A     inward flux of Mg X 610
mg10   624.941A     total Mg X 625
#inwd  624.9A     inward flux of Mg X 625
Ar 3     21.83m
Ar 5     8.000m
Ar 5     13.1m
Ar 6     4.530m
Ar10     5534A
Ar11     2.595m
Ca 4     3.210m
Ca 5     4.157m
Ca 5     11.48m
Ca 8     2.321m
Sc 5     2.310m
Ti 6     1.715m
V  7     1.304m
Cr 8     1.011m
Mn 9     7968
Co11     5168
Ni12     4231
#
# FeII emission from simple 6 level atom
#
fe 2     6200
fe 2     4300
fe 2     2400
fe 2     1080
fe 2     1500
fe 2     11500
fe 2     2500
fe 2     2300
fe 2     8900
#
# amount of La destroyed by FeII absorption
#
fe 2     1216
#
# diffuse continuum bins
#
#
# The following are the total non-line emission from the cloud 
# (diffuse + reflected continuum) at a given wavelength in Angstroms.
# All have units of nuF(nu).
nFnu 1.11867m
#
nFnu  8329.68   A
nFnu  8078.61
nFnu  6209.66
nFnu  4885.36
nFnu  3704.34
nFnu  3587.67
nFnu  2392.03
nFnu  2071.34
nFnu  2052.68
nFnu  1793.44
nFnu  1585.12
#
# In optically thick clouds of significant H I columns, Lya "Rayleigh
# scattering" of incident continuum becomes important beginning here and
# extending down to the Lyman limit.
#
nFnu  1458.33
nFnu  1356.96
nFnu  1297.29
nFnu  1262.79
nFnu  1218.08
nFnu  1196.33
nFnu  1175.06
nFnu  1143.64
nFnu  1113.22
nFnu  1103.23
nFnu  1073.86
nFnu  1064.34
nFnu  1035.92
nFnu  1000
nFnu   925.144
nFnu   897.8  
nFnu   760.023
nFnu   701.514
nFnu   608.160
nFnu   575.146
nFnu   511.948
nFnu   496.874
nFnu   399.153
#
# The following are the inward directed non-line emission from the cloud 
# (diffuse + reflected continuum) at a given wavelength in Angstroms.
# All have units of nuF(nu).
#
#InwT 11186
#InwT  8220
#InwT  8205
#InwT  6209
#InwT  4885
#InwT  3649
#InwT  3644
#InwT  2392
#InwT  2071
#InwT  2052
#InwT  1793
#InwT  1585
#InwT  1458
#InwT  1356
#InwT  1297
#InwT  1262
#InwT  1218
#InwT  1196
#InwT  1175
#InwT  1143
#InwT  1113
#InwT  1103
#InwT  1073
#InwT  1064
#InwT  1035
#InwT  1000
#InwT   913
#InwT   911
#InwT   760
#InwT   701
#InwT   608
#InwT   575
#InwT   505
#InwT   503
#InwT   399
#
# some lines added at the end
#
Ca 5     2413
Ca 5     3998
Ca 5     6086
CaF1     7291
CaF2     7324
Cl 2     8579
Cl 3     3354
Cl 4     8047
Cl 9     7334
O  3     1661
O  3     1666
O  5     1218
Si 3     1892
totl     2335  total Si II intensity, all lines in multiplet
Si 7     2148
# end NLR line list
